"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","FIRST BAPTIST CHURCH - DOUGLASS - FELLOWSHIP HALL","15122 W STATE HWY 21 DOUGLASS TX 75943 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","FIRST BAPTIST CHURCH - GARRISON - FAMILY LIFE CENTER","275 W MAGNOLIA ST GARRISON TX 75946 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","MARTINSVILLE ISD - BOARD ROOM","12952 ST HWY 7 E NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","45"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","NACOGDOCHES COUNTY EXPO CENTER - LOBBY","3805 NW STALLINGS DR. NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","21"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","NACOGDOCHES SENIOR CENTER - SENIOR CENTER","621 HARRIS STREET NACOGDOCHES TX 75964 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","26"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","NEW HOPE METHODIST CHURCH - FAMILY LIFE CENTER","4931 E. MAIN ST. NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","41, 43"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","NORTH STREET CHURCH OF CHRIST - FAMILY LIFE CENTER","3914 NORTH STREET NACOGDOCHES TX 75965 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","30, 31, 32"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NACOGDOCHES","WODEN SCHOOL - BREAK ROOM","5263 FM 226 WODEN TX 75978 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","44"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","BECK BUILDING  CUSHING - BECK BUILDING","720 SEVENTH ST. CUSHING TX 75760 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","BETHEL BAPTIST CHURCH - COMMUNITY ROOM","429 HAPPYLAND RD. NACOGDOCHES TX 75965 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","C. L. SIMON RECREATION CENTER - LOBBY","1112 NORTH STREET NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","22, 23, 24, 25"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","CALVARY BAPTIST CHURCH - FELLOWSHIP HALL","3732 NE STALLINGS DR. NACOGDOCHES TX 75965 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","33, 34"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","CENTRAL HEIGHTS SCHOOL - ADMINISTRATION OFFICE","10317 HWY N US HWY 259 NACOGDOCHES TX 75965 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14, 17"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","CHIRENO COMMUNITY CENTER - CHIRENO COMMUNITY CENTER","715 MAIN ST CHIRENO TX 75937 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","CIVIL AIR PATROL BLDG @ AIRPORT - ARMORY BLDG","553 TERRY CRAWFORD DR. (OFF SH 7W) NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","42"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","COURTHOUSE ANNEX - EARLY VOTING","203 W MAIN ST NACOGDOCHES TX 75961 ","EARLY VOTING","","12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 41, 42, 43, 44, 45, 46, 47"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","E.J. CAMPBELL ADMINISTRATION BUILDING - BOARD ROOM","420 S SHAWNEE NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","27"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","ETOILE SCHOOL - ETOILE SCHOOL","16039 FM 226 ETOILE TX 75944 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","47"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","FIRST BAPTIST CHURCH - DOUGLASS - FELLOWSHIP HALL","15122 W STATE HWY 21 DOUGLASS TX 75943 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","FIRST BAPTIST CHURCH - GARRISON - FAMILY LIFE CENTER","275 W MAGNOLIA ST GARRISON TX 75946 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","MARTINSVILLE ISD - BOARD ROOM","12952 ST HWY 7 E NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","45"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","NACOGDOCHES COUNTY EXPO CENTER - LOBBY","3805 NW STALLINGS DR. NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","21"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","NACOGDOCHES SENIOR CENTER - SENIOR CENTER","621 HARRIS STREET NACOGDOCHES TX 75964 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","26"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","NEW HOPE METHODIST CHURCH - FAMILY LIFE CENTER","4931 E. MAIN ST. NACOGDOCHES TX 75961 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","41, 43"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","NORTH STREET CHURCH OF CHRIST - FAMILY LIFE CENTER","3914 NORTH STREET NACOGDOCHES TX 75965 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","30, 31, 32"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NACOGDOCHES","WODEN SCHOOL - BREAK ROOM","5263 FM 226 WODEN TX 75978 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","44"
