"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","5 FIRST BAPTIST CHURCH - FAMILY LIFE CENTER","613 WALNUT STREET TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","6 KIRVIN BAPTIST CHURCH - FELLOWSHIP HALL","200 MAIN STREET KIRVIN TX 75848 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","7 WORTHAM COMMUNITY CENTER - WORTHAM COMMUNITY CENTER","105 EAST MAIN ST. WORTHAM TX 76693 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","8 SOUTHERN OAKS CLUBHOUSE - SOUTHERN OAKS CLUBHOUSE","111 SOUTHERN OAKS DR STREETMAN TX 75859 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","9 CHURCH OF CHRIST TEAGUE - FELLOWSHIP HALL","1001 N. 8TH AVE. TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FREESTONE","TEAGUE CITY HALL - CITY HALL","105 S 4TH AVE TEAGUE TX 75860 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","1 FAIRFIELD CIVIC CENTER (GREEN BARN) - 1 FAIRFIELD CIVIC CENTER (GREEN BARN)","839 E COMMERCE FAIRFIELD TX 75840 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","1 FAIRFIELD CIVIC CENTER (GREEN BARN) - 1 FAIRFIELD CIVIC CENTER (GREEN BARN)","839 E COMMERCE FAIRFIELD TX 75840 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","10 FREESTONE COM CENTER - FREESTONE COM CENTER","739 FM 80 S TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","11 BUTLER  COMMUITY CENTER - COMMUNITY CENTER","1604 FM 489 E OAKWOOD TX 75855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","13 DEW SCHOOL LIBRARY - DEW SCHOOL LIBRARY","606 FCR 481 TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","14 LANELY METHODIST CHURCH - LANELY METHODIST CHURCH","103 FM 1848 LANELY TX 75831 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","15 STREETMAN  CITY HALL - 15 STREETMAN CITY HALL","204 MAIN ST STREETMAN TX 75859 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","2 DOGAN CAFETERIA - AROUND BACK BEHIND GYM","920 S. BATEMAN RD. FAIRFIELD TX 75840 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","3 DONIE COMM CENTER - DONIE COMM CENTER","215 MAIN ST DONIE TX 75838 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","4 COTTON GIN VOTING BLDG - COTTON GIN VOTING BLDG","795 FM 1366 TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","5 FIRST BAPTIST CHURCH - FAMILY LIFE CENTER","613 WALNUT STREET TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","6 KIRVIN BAPTIST CHURCH - FELLOWSHIP HALL","200 MAIN STREET KIRVIN TX 75848 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","7 WORTHAM COMMUNITY CENTER - WORTHAM COMMUNITY CENTER","105 EAST MAIN ST. WORTHAM TX 76693 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","8 SOUTHERN OAKS CLUBHOUSE - SOUTHERN OAKS CLUBHOUSE","111 SOUTHERN OAKS DR STREETMAN TX 75859 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","9 CHURCH OF CHRIST TEAGUE - FELLOWSHIP HALL","1001 N. 8TH AVE. TEAGUE TX 75860 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FREESTONE","TEAGUE CITY HALL - CITY HALL","105 S 4TH AVE TEAGUE TX 75860 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
