"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","BAY CITY SERVICE CENTER - BAY CITY SERVICE CENTER","2105 AVE. M BAY CITY TX 77414 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1F"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","BLESSING COMMUNITY CENTER - BLESSING COMMUNITY CENTER","734 FM 616 BLESSING TX 77419 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","CALVARY BAPTIST CHURCH - GYM","3321 6TH ST BAY CITY  TX 77414 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1B"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","CEDAR LANE COMMUNITY CENTER - CEDAR LANE COMMUNITY CENTER","13622 FM 457 BAY CITY TX 77415 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","CHURCH OF CHRIST FELLOWSHIP HALL - CHURCH OF CHRIST FELLOWSHIP HALL","1200 NICHOLS STREET BAY CITY TX 77414 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","COLLEGEPORT  MOPAC HOUSE - COLLEGEPORT  MOPAC HOUSE","15308 FM 1095 COLLEGEPORT TX 77428 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MARKHAM COMMUNITY CENTER - MARKHAM COMMUNITY CENTER","528 FM 1468 N MARKHAM TX 77456 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MATAGORDA COUNTY COURTHOUSE ANNEX - MATAGORDA COUNTY COURTHOUSE ANNEX","405 COMMERCE ST. PALACIOS TX 77457 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","10, 12, 13, 1A, 1B, 1C, 1D, 1E, 1F, 2, 3A, 3B, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MATAGORDA COUNTY COURTHOUSE ANNEX - MATAGORDA COUNTY COURTHOUSE ANNEX","405 COMMERCE ST. PALACIOS TX 77457 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MATAGORDA COUNTY NAVIGATION DISTRICT #1 - MATAGORDA COUNTY NAVIGATION DISTRICT #1","1602 MAIN ST. PALACIOS TX 77465 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3B"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MATAGORDA FIREMANS HALL - MATAGORDA FIREMANS HALL","683 MARKET ST. MATAGORDA TX 77457 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","MIDFIELD COMMUNITY CENTER - MIDFIELD COMMUNITY CENTER","283 JUNETTA AVE. MIDFIELD TX 77458 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","NEW HOPE BAPTIST CHURCH - NEW HOPE BAPTIST CHURCH","3300 AVE F BAY CITY TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1C"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","OUR LADY OF GUADALUPE ED. BLDG. - OUR LADY OF GUADALUPE ED. BLDG.","1412 12TH ST. BAY CITY TX 77414 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1D"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","PLEDGER FIRE STATION - PLEDGER FIRE STATION","87 3RD ST EAST PLEDGER TX 77468 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","SARGENT FIRE STATION - SARGENT FIRE STATION","22037 FM 457 BAY CITY TX 77414 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","VAN VLECK COMMUNITY CENTER - VAN VLECK COMMUNITY CENTER","87 AVE F VAN VLECK TX 77482 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","WADSWORTH COMMUNITY CENTER - WADSWORTH COMMUNITY CENTER","20710 FM 521 WADSWORTH TX 77483 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MATAGORDA","WHARTON COUNTY JUNIOR COLLEGE - WHARTON COUNTY JUNIOR COLLEGE","4000 AVE F BAY CITY TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1E"
