"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","D. BROWN LIBRARY - D. BROWN LIBRARY","203 NORTH 2ND ST ROSEBUD TX 76570 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","304"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","DAVIS CHAPEL UNITED METHODIST CHURCH - DAVIS CHAPEL UNITED METHODIST CHURCH","300 CONOLY ST MARLIN TX 76661 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","GOLINDA CITY HALL - GOLINDA CITY HALL","7039 GOLINDA DR GOLINDA TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","LOTT FIRE STATION - LOTT FIRE STATION","GASSAWAY ST LOTT TX 76656 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","404"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","MARLIN HOUSING AUTHORITY - MARLIN HOUSING AUTHORITY","101 BURNETT ST MARLIN TX 76661 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","METHODIST CHURCH FELLOWSHIP HALL - METHODIST CHURCH FELLOWSHIP HALL","411 COLEMAN MARLIN TX 76661 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","OFFICE IN BASEMENT OF COURTHOUSE - OFFICE IN BASEMENT OF COURTHOUSE","125 BRIDGE ST. MARLIN TX 76661 ","EARLY VOTING","02/18/2020-02/18/2020 07:30 AM-04:30 PM; 02/19/2020-02/19/2020 07:00 AM-07:00 PM; 02/20/2020-02/21/2020 07:30 AM-04:30 PM; 02/24/2020-02/25/2020 07:30 AM-04:30 PM; 02/26/2020-02/26/2020 07:00 AM-07:00 PM; 02/27/2020-02/27/2020 07:30 AM-04:30 PM; 02/28/2020-02/28/2020 07:00 AM-07:00 PM","101, 104, 105, 201, 203, 204, 301, 302, 303, 304, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","OTTO COMMUNITY HALL - OTTO COMMUNITY HALL","FM 1240 OTTO TX 76675 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","104"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","PLEASANT GROVE BAPTIST CHURCH ANNEX - PLEASANT GROVE BAPTIST CHURCH ANNEX","FM 2027 PLEASANT GROVE TX 76570 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","REAGAN HOMECOMING BLDG - REAGAN HOMECOMING BLDG","ST HWY 6 REAGAN TX 76680 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FALLS","WESTPHALIA COMM. CENTER - WESTPHALIA COMM. CENTER","HWY 320 WESTPHALIA TX 76570 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
